[0.00 - 8.48]  皆さん、来ていただきありがとうございます。
彼らは素晴らしいですが、興味のない人々に普及を促すことはできませんし、人々は物を見つける必要があります。そして、他のものとつながることができる必要があります。私たちは、使いやすいものへと進化する必要がありますが、実際に人々にとって非常に使いやすいソフトウェアを作るのは非常に難しいことです。それには多くの労力が必要で、特に人々と話すことが必要です。自分の興味を満たすだけでは不十分です。パブロ、あなたは素晴らしいと思いますし、あなたがするすべてのことが大好きです。しかし、あなたはすべてを理解するプロトタイプを作る人です。そして、私たちはそのプロトタイプを取り、それがユーザーにとって意味を持つように適応させる別のコミュニティが必要です。私たちは、昨年Nostraに関して多くのユーザーインタビューを行い、何百回も人々と座ってアプリのオンボーディングを説明し、彼らのソーシャルメディアの状況を理解しようとしました。そして、彼らは2024年に何を考えているのでしょうか？人々は楽しいものを求めています。人々は遊び心のあるものを求めています。彼らはつながりを求めています。彼らは実際の人々とのつながりを求めています。彼らはつながっていると感じたいのです。彼らは意味を求めています。それが、Forecaster Casinoの一部の問題であり、ただ少しの金を稼ぐことのように感じるのです。そして、ビットコインに懐疑的な私の驚きとは裏腹に、彼らは経済モデルを求めています。彼らはマイクロペイメントを求めています。人々は、他の人々との間でお金を送受信する能力を求めています。ビットコインに関心のない人々は、中央銀行に関心がなく、全く関与していません。私たちが「経済モデルは、サービスに対して支払い、サポートし、マイクロペイメントを行うことができる」というと、彼らは喜びます。なぜなら、それは彼らが広告の世界を見ていないことを意味するからです。彼らはそれを必要としています。彼らは広告主に売り込むのではない経済モデルを渇望しています。これは良いことです。なぜなら、私たちは経済モデルを持っており、他のどのシステムよりも、これには支払いのシステムがあります。Farcasterはそれを行いますが、人々は自分たちが囚われているように感じることを望んでいません。彼らは疎外感や孤立感を持ちたくないのです。彼らは、自分たちが買われたり売られたりする製品であるような、自動的な世界に生きていると感じたくないのです。彼らは自分たちの人間性を感じたいのです。そして、これはAIに対する大規模な言語モデルに対する多くの反発の根本的な要因です。これは、「ああ、これはクールだ。私たちは人類の創造物をすべて取り込み、一緒に新しいものを作ることができる」ということではなく、搾取的に感じられるのです。彼らのものを引き出されるのは好きではないのです。人々はコミュニティを求めており、矛盾するものを求めています。

したがって、私たちがクリエイターをオンボーディングするとき、昨年これを多く行ってきましたが、彼らが最も気にかけているのは、どれだけ簡単にこのものを公開し、使えるようになるか、そしてどうやってオーディエンスを築くかです。そして、彼らはアルゴリズムを求めています。アルゴリズムは、彼らが簡単にオーディエンスを築くのを助けるものです。
[2273.24 - 2275.10]  それを行うのが簡単になります。
[2275.10 - 2279.38]   彼らはアルゴリズムを嫌っています。なぜなら、彼らはそれに依存するようになるからです。
[2279.38 - 2280.38]   だから、
[2280.00 - 2283.84]   私たちはしばしば、「アルゴリズムが嫌いだ」という部分だけを聞きます。
[2284.60 - 2287.60]   しかし、クリエイターたちがノストラを見たときに考えるのは、
[2287.66 - 2289.48]   どうやって私をフォローしてくれる人を見つけるかということです。
[2289.76 - 2291.20]   どうやってそのコミュニティを育てるか？
[2291.34 - 2292.36]   彼らはどこでそれを見つけるのか？
[2292.40 - 2295.64]   それに関しては良いツールがありません。
[2297.54 - 2299.66]   これが私が言っていたことです。
[2299.76 - 2302.20]   彼らはマイクロペイメントを望んでいます。
[2303.32 - 2306.44]   しかし、多くの人はビットコインを信用していません。
[2306.44 - 2310.00]   彼らは環境への影響に関する記事を聞いたので、それを信用していません。
[2310.00 - 2311.46]   彼らはそれが内向きのコミュニティのように感じるので、信用していません。
[2311.76 - 2314.22]   また、他の暗号通貨の詐欺のせいでもあります。
[2320.88 - 2321.82]   そして、私たちが見つけたのは、
[2325.98 - 2328.88]   ザップやライトニングペイメント、
[2328.88 - 2331.06]   そして人々の間でそれを送ることについて話すと、
[2331.06 - 2333.62]   彼らは「これは素晴らしい」と言います。
[2333.98 - 2335.14]   でも、それがビットコインウォレットだと言うと、
[2337.84 - 2338.52]   彼らは「それは嫌だ」と言います。
[2340.00 - 2346.96]   これは非常に示唆に富んでいます。
[2346.96 - 2351.24]   それは、私たちが「これはビットコインウォレットです」と言ってから、
[2351.24 - 2353.84]   ああ、これはいくつかのソーシャル機能もあります、と言っても良いことを意味します。
[2353.84 - 2356.50]   彼らがウェブページで自分たちを紹介する方法でもあります。
[2356.50 - 2360.00]   しかし、私たちには他のこともたくさん必要で、
[2360.00 - 2368.52]   ああ、これは機能です、そしてそれはどのように機能します。
[2368.52 - 2369.76]   驚くべきことは…
[2370.00 - 2376.00]   以前に話したことですが、NSECがユーザー間でどのようにやりとりされるかということです。
[2376.00 - 2380.40]   そして、これらすべてのアプリをどのように一緒に使うことができるかということです。
[2380.40 - 2388.64]   これは非常に異なる概念であり、人々を興奮させ、力強いものです。
[2388.64 - 2396.24]   そして、特に非技術的なユーザーには、非常に直感的である必要があります。
[2396.24 - 2400.00]   ユーザーテストに費やす時間の量は膨大で、私たちはエッジケースを見つける必要があります。
[2400.00 - 2408.42]   では、ノストラはどこへ行くのか？私のノストラのビジョンは、どうやってそれをビットコインのミートアップからクリスティアナに移行させるかということです。クリスティアナはコペンハーゲンにあるコミュニティで、1970年代に軍事基地に多くの人が押しかけて、そこに住み着きました。そして彼らは言いました、
[2418.46 - 2423.84]   私たちはここに家を建てる。私たちはここにビジネスを立ち上げる。そして、私たちのクリスティアナの世界の中でビジネスをします。
[2428.86 - 2429.86]   彼らはデンマークの法律を守りません。
[2430.00 - 2433.60]   そこにはデンマークでは違法なドラッグのオープンエア市場があります。
[2433.60 - 2438.60]   しかし、彼らは言います、クリスティアナでは異なる商取引のルールを持つつもりです。
[2442.80 - 2445.20]   私たちは自分たちの空間を持ち、そこを管理します。
[2445.20 - 2447.90]   私たちは言論の自由について異なるルールを持ちます。
[2447.90 - 2450.60]   そして、ここには多様なものがあります。
[2450.60 - 2452.80]   それは楽しいものであり、アートもあり、
[2452.80 - 2454.50]   商取引もあり、すべてのものがあります。
[2454.50 - 2459.80]   そして、私はノストルがそれになれると思います。
[2460.00 - 2463.06]   では、私たちはどうやってそれを作るのか？
[2463.06 - 2466.04]   私たちはそれを一緒に作り、協力します。
[2466.04 - 2469.26]   そして、私たちはすべてが合意する必要はありません。
[2469.26 - 2472.40]   私たちはすべてが許可を求める必要はありません。
[2472.40 - 2475.44]   しかし、私たちは協力し、お互いから学ぶ必要があります。
[2475.44 - 2477.44] 私たちはユーザーの声に耳を傾ける必要があります。
[2477.44 - 2481.62] ユーザーとの対話をもっと増やす必要があります。
[2481.62 - 2487.28] 最近数ヶ月のプロジェクトの一つは、クリエイターとジャーナリストのアクセラレーターを運営することでした。
[2487.28 - 2490.02] 私たちは数百人のクリエイターに連絡を取りました。
[2490.00 - 2494.82] クリエイターやジャーナリストと共に、彼らをNosterにオンボーディングする作業をしました。彼らにウォレットを設定し、
[2494.82 - 2497.82] アカウントを作成し、どのアプリが最も適しているかを見極めました。彼らの中にはNOSを使う人もいましたが、
[2497.82 - 2504.32] 多くは他のアプリを使用していました。そして、私たちはそれらのユーザーやアカウントを特集し、彼らがオーディエンスを構築する手助けをしました。
[2508.60 - 2514.00] これが、アルゴリズムに対する愛憎の関係を発見した方法です。最初は彼らは「アルゴリズムが嫌い」と言っていましたが、Nosterに参加すると、
[2514.00 - 2517.38] 「どうやってオーディエンスを構築するのか？どうして私を見つけるのを手伝ってくれるアルゴリズムがないのか？」と聞くようになります。
[2520.00 - 2525.82] これは、私たちがオンボーディングした人々のいくつかの例です。ユーザーインタビューやその他の場面でよく出たもう一つの点は、削除や編集の機能を求めていることです。
[2540.28 - 2547.54] ユーザーはそれが実際のものでないことを気にしていません。技術者として私たちは「これは決して消えることはない」と思っていますが、
[2547.54 - 2552.06] それについて何が起こったのか、そういったバージョンについては、彼らはその混乱を気にしません。なぜなら、それは社会的な信号だからです。
[2558.96 - 2565.76] ユーザーは本当にプライベートグループを求めています。私たちは、インターネットの「ダークフォレスト」のビジョンで活動する人々の数が増えているのを見ています。そこには怖くて危険なことがあり、
[2571.52 - 2576.32] 特に大規模な言語モデルやボットの影響を受けて、私のコミュニティに誰が参加するかを決めたい、プライバシーを持ちたいという人が増えています。
[2580.00 - 2582.54] ウィルがこれについて後で詳しく話すと思いますが、
[2582.54 - 2587.52] 私をフォローしている人や私がフォローしている人だけのプライベートグループを持つことができ、
[2590.00 - 2591.54] そこに投稿でき、
[2591.54 - 2594.28] さらに公に全員に投稿することもできます。
[2594.28 - 2596.00] これは大手の企業のソーシャルメディアプラットフォームには存在しませんが、
[2596.00 - 2598.08] Nosterでは可能です。
[2600.70 - 2603.00] 一度技術を設定すれば、
[2603.00 - 2604.86] 私たちができることはたくさんあります。
[2604.86 - 2608.02] 私たちはプログラム可能なスペースが必要です。それを持っています。
[2608.02 - 2610.00] 私たちは素晴らしいハッカブルスペースを持っています。私はアルコホリクス・アノニマスに参加しており、その第12ステップは、
[2620.58 - 2624.66] 霊的覚醒を体験することです。これはNostraコミュニティに参加し、それを理解することと同じです。
[2624.66 - 2633.04] 私たちにはそれを他の人に伝える責任があります。
[2633.04 - 2638.12] Nostraにはマーケティング部門がありません。私たちが持っているのは運動であり、それがより強力です。
[2640.00 - 2647.94] だからこそ、私は大規模なコミュニティや新しいコミュニティの参加を非常に楽しみにしています。
[2648.82 - 2652.34] そして、私はTrust Roopsについて非常に興奮しています。
[2652.58 - 2655.18] 彼らには約10万人が参加しています。
[2656.86 - 2662.12] 私はHenhouseと、アレックスがDittoで行っていることにも興奮しています。
[2662.12 - 2669.18] それは、Mastodonのコミュニティコラボレーション機能を提供しつつ、Gnosterの自由を享受できるからです。
[2670.00 - 2673.32] それから、私自身が取り組んでいるいくつかのプロジェクトもあります。
[2673.32 - 2678.92] 一つは、1990年代後半に私が始めたカレンダー活動サイト「protest.net」です。
[2678.92 - 2685.48] そして、それをNosterに移行して、オープンネットワークで運営できるようにしています。
[2685.48 - 2688.50] 実際には、構築するソフトウェアはあまりありません。
[2688.50 - 2694.50] それはFlocksterにカスタムリレーとDitto、そしていくつかの他のものを組み合わせたようなものです。
[2694.50 - 2699.74] そして、私たちが行っているもう一つのことは、causes.comを取得することです。
[2700.00 - 2708.52] オーストラリアに戻った際、彼らとのコラボレーションについて話しましたが、これは30万人のユーザーのコミュニティです。
[2708.98 - 2712.40] そのうち10万人が毎日、日々のメールを開いています。
[2713.64 - 2724.04] 彼らはコラボレーションを求めており、政治について話したがっており、何かを構築したいと思っており、世界に大きな影響を与えたいと考えています。
[2724.72 - 2728.04] それで、私たちが行うことはクラウドファンディングを追加することです。
[2728.04 - 2730.00] 彼らに「これはウォレットです」とは言いませんが、彼らが資金を集めて持ち込むことを許可します。
[2730.00 - 2735.60] そして、彼らがその資金をどのように配分するかを決められるようにします。
[2735.60 - 2739.52] ですので、このオープンネットワークを利用して実現するつもりです。
[2739.52 - 2746.14] 最後に、あまり時間がありませんが、私たちは他の人々の
[2746.14 - 2752.98] ソーシャルメディアのプロトコルやアプリを、ただコピーするからといってそのまま模倣すべきではありません。
[2752.98 - 2757.36] しかし、彼らがうまく機能していることを行ったときには。
[2757.36 - 2759.98] それが私たちにとって理にかなっているかどうかを考慮するべきです。いくつかの例を挙げます。
[2760.00 - 2765.12] Blue Sky Starter Packsは、基本的にリストで、特別なインターフェースを持っており、
[2765.12 - 2771.64] ユーザーにそれにサインアップするよう促し、カスタムURLを生成します。
[2771.64 - 2776.10] ですので、フォローすべき人々をたくさん提供してくれます。
[2776.10 - 2780.10] 私たちはListerや他の多くの技術を使ってこれを実現する準備はできています。
[2780.10 - 2785.84] ただし、すべてがつながっているわけではありません。
[2785.84 - 2789.64] 彼らは
[2789.64 - 2790.00] カスタムフィードアルゴリズムのことです。
[2790.00 - 2791.98] 私たちにはカスタムフィードアルゴリズムがありますが、彼らは
[2791.98 - 2794.68] これらの素晴らしい、ちょっと見た目が悪いかもしれない
[2794.68 - 2796.78] ツールを使ってそれらを構築しています。
[2796.78 - 2799.36] そして、アプリ内ではそれらの発見が
[2799.36 - 2802.52] とても簡単に行えます。
[2802.52 - 2804.00] 彼らはそれに対して奨励します。
[2804.00 - 2806.94] 私たちはDVMとカスタムフィードを持っていますが、
[2806.94 - 2809.76] それを行うアプリは数えるほどしかなく、人々がそれを使っているときに発見可能にしていません。
[2809.76 - 2813.12] FarcasterにはFramesというものがあり、
[2813.12 - 2814.92] これは本当に素晴らしいです。なぜなら、
[2814.92 - 2817.24] Acajoneの人々がSmart WidgetsというNostraのものを作り、
[2817.24 - 2820.00] それが私たちが行っていることにフレームを組み込んでいるからです。
[2820.00 - 2824.78] ですので、私はこの講演を最初のところに戻して締めくくりたいと思います。私たちは実際に
[2824.78 - 2834.96] 過去2年間でNostraコミュニティが成長する中で長い道のりを歩んできました。
[2834.96 - 2839.78] 私たちは数百のアプリを構築し、活気のあるコミュニティを持ち、
[2839.78 - 2845.72] 多くのNIPSと多くのコラボレーションを構築してきましたが、まだまだ道のりは長いです。
[2845.72 - 2850.02] そして、私たちはお互いに話し続け、雷が
[2850.00 - 2857.18] 私たちの唯一のスーパーパワーではないことを認識する必要があります。
[2857.18 - 2860.26] もう一つは、これらすべてのアプリと、それらの間でコラボレーションできる方法です。
[2860.26 - 2864.42] 何も他にはそれがなく、人々はそれを望んでいます。
[2864.42 - 2867.66] ですので、ありがとうございます。
[2867.66 - 2869.40] ありがとうございました、Rabble。
[2869.40 - 2872.84] ありがとうございます。
