[0.00 - 8.36] 次のパネルでは、NOSTRの資金調達について話しますので、ゲストを紹介します。
それは素晴らしいことです。Nostraでは多くの異なるプロジェクトが進行中で、私たちはそれらをすべて把握することすらできません。この部屋にいる誰もが存在するすべてのNostraプロジェクトを知っていると言うなら、それは100%の確率で嘘です。すべてを追跡するのは不可能です。それ自体がフルタイムの仕事です。それがクールな部分です。なぜなら、オープンで許可なしに構築できるからです。私が言うには、私たちはおそらくTwitterのようなクライアントをもっと必要としているわけではありませんが、もっとあっても悪くはないし、もしかしたらより良いものが出てくるかもしれません。だから、それをする人々を妨げるつもりはありません。一般的に、私たちがOpen Statsの資金調達を行う方法は、プロジェクトが資金を受け取るのを難しくしないようにしています。Open Statsは9人のボードで運営されており、審査プロセスでは9人のうち5人のボードメンバーの承認が必要です。この理由は、できるだけ腐敗に強くしたいからです。ボードメンバーの個人的な偏見がそのプロセスを歪めないようにするためです。特に大きな金額や多くの寄付を受け取る話をすると、これがますます懸念事項になります。したがって、その基盤が重要です。そのため、Open Statsの審査プロセスについて広範に話すのは難しいです。資金を受け取る側にとっては、最もイライラすることの一つかもしれません。なぜなら、私や他のOpen Statsのボードメンバーと45分間の会話をしても、承認されるかどうかについての洞察を得られないことが多いからです。しかし、一般的には広いテーマがあり、私たちは「これがクライアントで、Twitterのようなクライアントが多すぎるから資金を出さない」とはなりません。このプロジェクトには必要性があるのか？他のプロジェクトが取り組んでいない方法で何かを達成しているのか？このプロジェクトが実際に存在するという検証可能な証拠があるのか？単なるアイデアではなく。だから、誰かがノンストップのスペースで何かを進めることを妨げたくありません。まだ初期段階なので、私たちがすべてを知っていると言うのは非常に傲慢です。実際、私たちは非常に少ないことしか知らないのです。これらの多くのことは、人々が実験するにつれて時間をかけて明らかになるでしょう。だから、実験が多ければ多いほど良いです。マットの意見に付け加えますが、もし誰かがNostraで何が起こっているかを100%知っていると思っているなら、彼らは間違っています。それは完全に真実です。私はインターネットから2週間の休暇を取ったような気がします。その間、リラックスして、毒性のあるアルゴリズムから自分をデトックスしようとしました。戻ってくると、Nostraで何が起こっているのか全く分からず、ああ、こんなに新しいことが起こっているのかと驚いています。私が考える必要な開発の中で、Nostrで最も必要なものは、明らかにNostrのすべての開発者を完全には資金提供していないと感じます。まだ資金が必要な素晴らしい開発者がたくさんいます。
しかし、私は、コミュニティビルディングやマーケティング、新しいユーザーのオンボーディングを行っている人々に対して、わずかに資金が不足していると思います。正直に言うと、オデルさんやここにいる多くの人々は、Xアカウントを削除するという勇気ある一歩を踏み出しました。私たちの多くは、今でも毎日Xを使っています。そして、私はその仲間の一員です。私は青いチェックマークのためにお金を払ったことさえあります。オデル、私をそのことで非難してもいいですが、Xのアルゴリズム的なリーチを向上させるために月に8ドル払ったのです。あなたはそれを行ったときにKYCの電話番号を使用しましたか？私は使いました。おお、なるほど。問題は支払いではありません。問題は本人確認です。実際、Xが行っている多くの点で良いことの一つは、人々が製品に対してお金を払うことを大規模に証明していることです。したがって、広告モデルに頼る必要はありません。これは人々が見落としがちな重要な点で、実際に私たちは、ユーザーが直接支払うようなプレミアムモデルを持つプロジェクトをもっと奨励するべきだと思います。それはアダム・カリーの「価値に対する価値」ではありません。なぜなら、アダム・カリーの「価値に対する価値」は、あなたが感じた分だけ支払うというものだからです。しかし、私はそれが持続可能で、より自由に焦点を当てた、ユーザー中心、人間中心のビジネスモデルに向けた一歩だと思います。また、hrfがビットコイン資金調達の分野で少し異なるのは、私たちが循環経済を資金提供しようとし、グローバルなコミュニティに資金を提供しようとしている点です。なぜなら、人々が実際にビットコインを使えるようにしたいからです。そして、人々がビットコインを使えるようにするためには、それが存在することを知る必要があり、安心して学べる環境が必要です。彼らの国の中でウォレットを安全にインストールする方法や、オン・オフランプを知っている必要があります。したがって、私たちは世界中のビットコイン循環経済や教育者、活動家を資金提供しようとしています。私はこれが必要だと思います。また、私たちはノストルの分野でも少しそのようなものが必要です。明らかにノストルはビットコインとは異なり、イノベーションハブや循環経済は、ノストルについて学べるカンファレンスのブースとは異なります。しかし、私たちは人々をノストルにうまくオンボードし、ノストルを教育し、人々がノストルの存在を知るための方法を必要としています。現時点での最善の方法が何なのかはわかりません。それは、ノストルについて人々を教育するために、ビットコインやノストル以外のカンファレンスに人々を資金提供することですか？それとも、世界中の主流のカンファレンスでパネルに登場するために人々にお金を払うことですか？人々がノストルの存在を知るために？それとも、ただ単に、世界的なキャンペーンを始めて、人々にエックスアカウントを削除させ、ノストルを独占的に使用させることですか？誰が知っているでしょう？しかし、変化は内側から生まれます。そして、私たちはビットコインコミュニティ内でも、ノストルを使うように人々を促し始める必要があります。ビットコインのカンファレンスに行って人々に「あなたと連絡を取り続ける最良の方法は何ですか？」と尋ねると、驚くほど多くの場合、ノストルのことを知っている人は少ないのです。
[2220.00 - 2222.00]  そして彼らは「私のTwitterをフォローして、私のXをフォローして」と言う。
[2222.00 - 2223.24]  私は「おお」と思う。
[2223.24 - 2224.24]  私たちは、ビットコイン会議に行って、
[2224.24 - 2225.94]  誰かが最初に言うのが「私をNostrでフォローして」となるところまで行く必要がある。
[2225.94 - 2228.04]  ダン・ガルピン - その通りだ。
[2230.04 - 2232.46]  あなたの質問について、もう少し考えていた。
[2232.46 - 2235.88]  私が本当に興奮していることの一つは、
[2235.88 - 2239.02]  Nostrの素晴らしい部分の一つは、
[2239.02 - 2242.52]  人々が自分の体験をコントロールできるという考え方だ。
[2242.52 - 2247.80]  ユーザーは自分がNostrをどのように体験し、どのコンテンツを見て、
[2247.80 - 2250.00]  どのようにそれを消費するかを微調整できる。私は、その方向に進んでいる良い仕事がたくさんあると思っていて、
[2250.00 - 2255.38]  DVMや、アルゴリズムを選ぶというアイデアや、異なるものを選べるアルゴリズムマーケットプレイスのようなことに本当に興奮しているが、
[2255.38 - 2262.80]  まだやるべきことがたくさんあると思う。
[2262.80 - 2268.66]  そして、そこでの重要な問題は二重のものだ。
[2268.66 - 2271.84]  ユーザーに体験のコントロールをできるだけ提供するという技術的な問題だ。つまり、xやTikTokのようなトップダウンの検閲モデルではなく、
[2271.84 - 2274.42]  最終的にユーザーがプロトコルをどのように体験するかを選ぶことができることだ。しかし、もう一つの要素は、それを圧倒的でなく、
[2274.42 - 2279.98]  非常に少ない摩擦で行うことだ。もし圧倒的で、突然たくさんのスライダーや選択肢、異なるオプションが提示されると、私たちはその点でも失敗してしまう。
[2280.00 - 2284.34]  そして、私たちがNostrに人々を迎え入れる際に、その摩擦を感じたら、彼らはただ圧倒されてしまい、
[2284.34 - 2289.96]  FacebookやLinkedIn、あるいは他のどこかに戻ってしまうだろう。
[2290.00 - 2293.54]  Nostrへの人々を誘引するインセンティブについて、私は西側の政府が私たちのためにほとんどの重労働を行うと思っている。
[2293.54 - 2297.80]  私たちがこれらのことをたくさん行い、人々を引きつけることができるが、実際に引き寄せるもの、
[2297.80 - 2301.10]  実際の需要は、非常にフラストレーションを感じる人々から生まれるだろう。
[2301.10 - 2304.42]  彼らは2020年のコロナウイルスのような体験をすることになるかもしれない。必ずしもパンデミックではないが、
[2304.42 - 2308.66]  私の友人たちは「わあ、政府が本当に私たちを検閲していて、何も見せてくれないとは思わなかった」と言っていた。
[2308.66 - 2311.00]  2020年の後はみんなが不思議な気持ちになっていた。
[2311.00 - 2316.00]  そして、これからそのようなことがもっと起こると思う。人々を自然にNostrに引き寄せるだろう。
[2316.00 - 2321.26]  投資の観点から見ると、これは良い答えかどうかわからないが、相互運用性の問題が本当に重要だと思う。
[2321.26 - 2326.80]  そして、多くの場合、残念ながらそこにはビジネスがない。パブロのような人々や、過去1.5日の間にステージに立っていた他の多くの人々が、
[2326.80 - 2330.90]  素晴らしいコードを書いて、これらの全てのつながりを利便性にするためにキーボードを叩いている。
[2330.90 - 2334.32]  私がオープンサッツを見て、彼らが資金提供しているいくつかのことを見ると、
[2334.32 - 2339.80]  このプログラムを本当に愛している。なぜなら、これはすべてを繋ぎ合わせているもので、
[2339.80 - 2343.94]  最終的には私たちにパフォーマンスを提供してくれるからだ。
[2397.96 - 2401.36]  より良い状態である
[2400.00 - 2407.40]  中央集権的で、私たちを食い物にしているような、いわゆる「汚水溜め」とは違っている。
[2408.18 - 2411.44]  そして、向こう側ではまったく異なる体験が待っている。
[2411.52 - 2415.08]  しかし、すべてが非常に分散化されているため、それを一つにまとめるのは本当に難しい。
[2415.26 - 2419.08]  先日、Noster NestでNoster Nestを聞いていました。
[2419.88 - 2424.66]  そして、20人ぐらいの人が聞いていたと思います。
[2424.66 - 2428.80]  Twitterでスペースに参加すると、フォロワーが10,000人や100,000人いる誰かがいた場合、その人のフォロワー全員がその人がスペースにいるのを見て、それがさらなるエンゲージメントやインタラクション、さらに多くの人がステージに上がることを促進します。これはすべて中央集権的です。
[2445.26 - 2453.42]  だから、Noster Nestを見ていると、参加者の画像の周りに何か小さな円が表示されて、その人がその部屋で聞いていることがわかるような仕組みはありますか？
[2453.42 - 2459.76]  いいえ、これはエンゲージメントを促進するために接続されている相互運用性の要素です。
[2460.00 - 2465.12]  Noster Nestですが、それを実装するためにはクライアントがそれをコーディングする意欲が必要です。
[2465.12 - 2472.40]  すべてのエンジニアリングは簡単ではなく、時間がかかり、たくさんの時間を要します。
[2472.40 - 2478.52]  すべてをまとめるのは本当に大変です。だから、私は相互運用性の部分に興奮しています。それを資金調達するのは本当の課題ですが、私たちが今いるプロトタイプ・R&Dフェーズを理解することは非常に重要です。
[2489.76 - 2489.98]  特にこの部屋にいる本当のビルダーたちにとっては、
[2490.00 - 2492.10]  もっとそれを行うように人々を励ましたいと思います。
[2496.46 - 2496.64]  はい。
[2497.44 - 2499.58]  残り3分ですので、コメントをして、
[2499.80 - 2503.04]  それからこの件についての最後の考えを3人に投げかけます。
[2503.08 - 2506.64]  ですが、特に開発者への資金調達がこの5年間でどれほど進展したかを強調することは重要です。
[2506.64 - 2509.70]  特にこの5年間においてです。
[2509.70 - 2511.10]  そして、この推進をしている二人の紳士に感謝の意を示したいと思います。
[2514.68 - 2515.76]  そして、営利側では、
[2516.02 - 2518.78]  EgoDeathのようなファンドが…
[2520.00 - 2524.08]  ちなみに、私は1031のパートナーです。
[2524.08 - 2525.08]  市場に出てきます。
[2525.08 - 2526.08]  文字通りその帽子をかぶっています。
[2526.08 - 2527.08]  はい。
[2527.08 - 2532.40]  みんなが過去に言及してきたように、Linux FoundationやRedboxですが、私は
[2532.40 - 2537.20]  ビットコイナーたちがこの5年間で非常に良い仕事をして、オープンソース開発に資金を提供する方法を切り開いて、新しいモデルを設定してきたと思います。
[2541.06 - 2543.74]  それを見るのは本当に素晴らしかったです。
[2543.74 - 2547.20]  では、最後の考えを皆さんに投げかけます。
[2547.20 - 2549.44]  あなたが見たいと思う変化を世界に示し、Nostrを使用してください。
[2550.80 - 2553.84]  とある賢い人の言葉を引用して、謙虚であり続け、サトシを積み上げましょう。
[2554.38 - 2556.68]  また、謙虚であり続けて、友達をサポートしましょう。
[2557.98 - 2559.16]  イライラしないでください。
[2560.02 - 2562.96]  資金調達を目指しているときに多くの「ノー」を言われた場合は、
[2563.00 - 2566.60]  現在の環境設定や、私たちがどれだけ初期段階にいるかを理解してください。
[2566.60 - 2571.06]  また、ステージで話したような特定のタイプの資金調達のためにどこに行くことができるかを理解してください。
[2571.58 - 2572.74]  それには時間がかかります。
[2573.00 - 2573.90]  それには時間がかかります。
[2573.90 - 2577.04]  それには時間がかかります。
そして、もし政府が本腰を入れて動き始めれば、もう少し早く進むかもしれません。さて、どうなるか見てみましょう。これが私たちの全てです。ありがとう、みんな。ありがとうございました。
